goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,team_id,team_name,team_key
24,15,0,18,275,2,3,0,6,20,4,157,118,4,7,13,38,24,23,83,122,70,144,325,121,6,24,7,20,49.421052631579,6422,4924,76.673933354095,2409,2139,88.79202988792,4466,2891,64.733542319749,582,264,45.360824742268,453,106,23.399558498896,7,259,146,48,0,4,2,2,467,2,2,2035,954,46.879606879607,1364,622,45.601173020528,671,332,49.478390461997,2699,20,279,51,1,2,6.8896666666667,1116,2591,2848,5352,32,25,22,639,100,87,337,242,118,1,5,3,161,198,482,1136,45,5,263,78,137,126,121,64,78,362,1810,3935,3249,6847,42,507,182,879,221,39405,19,0,1960,Goiás,goias
20,13,0,13,212,3,3,1,8,17,3,128,84,3,11,6,22,17,10,69,82,61,108,231,116,6,14,1,13,52.789473684211,8026,6804,84.774482930476,4185,3858,92.186379928315,4225,3031,71.739644970414,756,400,52.910052910053,384,85,22.135416666667,11,244,161,77,1,7,2,1,457,1,0,1769,875,49.462973431317,1195,600,50.20920502092,574,275,47.909407665505,2246,37,250,54,1,1,6.9230263157895,1389,3083,2973,5952,25,19,22,499,85,104,400,234,115,1,6,4,132,189,393,876,14,2,254,60,130,124,105,89,60,250,1974,4334,3304,7238,47,399,157,802,251,39497,19,0,1982,Coritiba,coritiba
23,16,0,13,275,5,6,1,13,18,5,138,137,2,6,15,33,21,16,73,124,78,130,252,93,1,25,3,23,51.0,7575,6246,82.455445544554,3479,3157,90.744466800805,4488,3195,71.189839572193,833,402,48.259303721489,392,106,27.040816326531,8,276,145,75,3,8,1,1,514,1,3,1842,924,50.162866449511,1228,611,49.755700325733,614,313,50.977198697068,2292,50,258,45,1,4,6.9576271186441,1277,2871,3098,5893,26,18,18,445,93,76,337,276,129,3,4,5,127,169,419,1002,22,5,246,61,135,111,94,91,61,246,1978,4211,3413,7287,48,370,155,908,211,39613,19,0,135514,Novorizontino,novorizontino
25,18,1,16,249,1,1,2,10,21,3,139,110,3,8,13,38,29,22,86,104,59,134,240,81,5,16,1,15,44.526315789474,6839,5442,79.573036993713,3497,3138,89.734057763798,3659,2375,64.908444930309,846,378,44.68085106383,317,71,22.397476340694,5,239,164,79,2,3,3,2,615,1,1,1698,848,49.941107184923,1096,547,49.908759124088,602,301,50.0,2203,32,234,42,1,2,6.9248344370861,1576,3785,3375,7054,38,27,25,381,103,106,481,227,120,1,4,8,134,228,423,932,30,1,321,83,150,171,142,96,83,214,2295,5274,3663,8456,39,367,194,823,178,39500,19,0,21845,Chapecoense,chapecoense
22,17,0,16,222,2,3,0,11,20,2,126,96,6,3,13,38,28,23,70,101,51,101,227,92,4,27,4,24,47.947368421053,7082,5775,81.544761366846,3311,2989,90.274841437632,4112,2868,69.747081712062,704,334,47.443181818182,341,82,24.046920821114,5,244,163,103,2,7,2,1,574,0,2,1713,854,49.854057209574,1144,579,50.611888111888,569,275,48.330404217926,2181,24,220,46,0,1,6.9226973684211,1664,3592,3018,6485,40,33,30,404,138,125,457,257,122,1,2,4,175,261,443,904,21,4,346,101,185,161,126,119,101,236,2308,4951,3292,7786,46,363,171,800,241,39609,19,0,2012,Remo,remo
23,17,1,19,277,0,2,1,8,18,5,134,143,4,3,16,33,22,20,94,117,66,121,251,116,6,18,0,18,50.263157894737,7240,5715,78.936464088398,3173,2805,88.402143082257,4503,3015,66.955363091272,837,390,46.594982078853,436,105,24.082568807339,7,301,180,50,0,4,0,0,588,3,4,2079,1049,50.45695045695,1331,663,49.812171299775,748,386,51.604278074866,2571,30,271,49,0,2,6.9418367346939,1303,2751,2995,5676,34,24,23,545,85,70,354,294,141,1,3,7,158,183,447,1107,37,3,249,72,125,124,109,68,72,282,2025,4218,3392,7256,47,446,143,889,253,39409,19,0,1984,Criciúma,criciuma
22,22,0,13,249,5,6,2,19,17,5,141,108,5,7,10,37,23,23,79,96,74,149,296,108,4,13,0,13,49.368421052632,7184,5815,80.943763919822,3278,2982,90.970103721782,4290,2930,68.298368298368,748,338,45.187165775401,384,97,25.260416666667,6,271,152,47,2,3,2,2,529,2,2,1936,987,50.981404958678,1277,644,50.430696945967,659,343,52.048558421851,2394,39,247,44,1,3,6.8588628762542,1310,2926,3047,5884,33,23,16,503,83,89,389,259,133,1,1,4,150,156,454,991,32,4,220,54,121,99,95,71,54,273,1938,4245,3403,7259,48,443,157,808,232,39611,19,0,49202,Cuiabá,cuiaba
26,20,0,14,258,2,2,3,12,18,8,140,118,1,7,17,38,28,26,85,109,64,144,276,86,5,28,4,24,48.263157894737,7526,5987,79.550890247143,3360,2994,89.107142857143,4502,3066,68.103065304309,916,445,48.580786026201,336,73,21.72619047619,7,282,179,67,3,6,2,2,556,3,0,1951,1002,51.358277806253,1255,650,51.792828685259,696,352,50.574712643678,2574,46,229,36,1,3,6.9391304347826,1616,3608,3061,6579,23,13,12,617,119,90,403,276,132,7,2,4,139,194,498,1092,16,2,269,77,119,150,102,90,77,262,2362,5108,3429,8134,45,416,135,909,229,39612,19,0,7315,Avaí,avai
18,18,0,7,240,2,2,0,9,17,1,135,105,3,7,8,31,21,16,82,102,56,104,227,96,8,28,4,26,45.736842105263,6402,4871,76.085598250547,2816,2461,87.393465909091,3941,2514,63.790916011165,774,319,41.214470284238,355,104,29.295774647887,7,289,180,46,2,5,5,3,531,2,0,1979,999,50.480040424457,1292,640,49.53560371517,687,359,52.256186317322,2556,22,291,35,3,5,6.8508250825083,1489,3267,2992,6149,24,13,16,546,120,110,436,268,127,5,6,9,157,177,485,1047,15,1,251,79,131,120,106,66,79,257,2213,4722,3291,7577,48,459,148,848,250,39498,19,0,2021,Vila Nova FC,vila-nova
20,18,1,11,333,0,0,1,12,16,3,187,146,5,9,5,42,30,30,93,134,106,120,230,124,4,18,4,15,56.105263157895,8643,7418,85.826680550735,4136,3855,93.205996131528,4992,3687,73.858173076923,740,426,57.567567567568,485,124,25.567010309278,6,229,130,85,3,8,4,2,481,4,2,1645,791,48.085106382979,1161,552,47.545219638243,484,239,49.380165289256,2158,30,234,50,0,1,6.9802675585284,1428,3338,2319,5551,49,33,37,547,99,106,390,263,154,1,9,8,147,228,410,931,34,5,301,69,170,131,126,106,69,233,2071,4576,2593,6779,40,329,163,861,208,39499,19,0,22032,CRB,crb
24,26,0,16,279,3,4,0,9,23,1,180,99,6,5,13,43,32,26,90,119,70,141,275,108,9,23,3,21,52.315789473684,7792,6342,81.391170431211,3441,3142,91.310665504214,4739,3306,69.761553070268,767,353,46.023468057366,388,106,27.319587628866,3,305,182,42,3,3,3,2,473,0,1,2006,1032,51.445663010967,1347,679,50.408314773571,659,353,53.566009104704,2525,21,279,36,2,4,6.8844594594595,995,2479,3141,5555,27,17,8,566,63,65,276,251,117,2,5,6,165,142,426,1054,20,3,207,56,103,104,83,68,56,290,1651,3791,3559,7074,45,441,144,860,238,39408,19,0,1967,Athletico,athletico
22,26,2,15,216,4,4,0,7,19,3,134,82,4,8,10,33,24,18,75,77,64,139,294,106,5,24,3,22,50.789473684211,7425,6117,82.383838383838,3502,3191,91.119360365505,4284,3011,70.284780578898,673,349,51.8573551263,361,85,23.545706371191,3,284,143,53,3,4,2,2,489,3,3,1911,963,50.392464678179,1348,693,51.409495548961,563,270,47.957371225577,2350,32,259,51,2,3,6.8464406779661,1117,2578,3424,5920,29,23,15,523,86,82,337,249,123,1,5,3,157,174,426,946,42,5,241,64,132,109,97,80,64,296,1748,3825,3738,7226,40,425,161,832,275,39671,19,0,342775,Athletic Club,athletic-club
21,20,1,13,272,5,6,0,10,18,3,131,141,4,6,10,38,27,23,78,119,75,153,291,88,9,17,0,17,53.789473684211,7960,6506,81.733668341709,3696,3324,89.935064935065,4617,3275,70.933506606021,699,315,45.064377682403,353,93,26.345609065156,7,314,151,45,1,2,2,2,473,0,5,2057,1049,50.996596985902,1413,710,50.247699929229,644,339,52.639751552795,2502,27,294,52,1,2,6.8909698996655,1010,2381,2959,5253,23,17,14,447,75,87,306,302,142,1,5,7,193,152,478,1116,65,5,196,40,113,83,93,63,40,287,1703,3733,3348,6775,56,413,148,925,249,39410,19,0,39634,Operário-PR,operario-pr
18,20,0,12,258,1,1,0,12,11,5,134,124,3,7,6,27,19,18,86,105,67,142,267,92,7,15,3,13,49.789473684211,6951,5492,79.010214357646,2598,2305,88.722093918399,4752,3282,69.065656565657,778,381,48.971722365039,399,95,23.809523809524,6,241,164,44,1,5,4,4,445,2,2,1911,937,49.031920460492,1299,637,49.037721324095,612,300,49.019607843137,2504,32,283,58,0,4,6.8879598662207,1109,2476,3214,5603,36,19,21,583,99,87,341,240,128,4,8,9,128,155,418,986,26,1,220,60,129,91,95,65,60,274,1783,3821,3576,7056,50,453,153,845,257,39670,19,0,7314,Atlético Goianiense,atletico-goianiense
20,26,2,14,282,2,3,1,16,15,5,145,137,4,5,11,36,24,26,97,105,80,132,269,112,8,20,2,18,56.631578947368,8592,7138,83.077281191806,3844,3520,91.571279916753,5193,3724,71.711919892163,865,442,51.098265895954,445,106,23.820224719101,3,253,122,55,2,7,2,2,415,1,5,1804,895,49.611973392461,1271,629,49.48859166011,533,266,49.906191369606,2496,31,239,46,1,3,6.8721649484536,1137,2390,2830,5134,26,19,12,593,104,86,337,246,116,3,8,4,170,176,460,1072,38,2,231,62,128,103,90,79,62,305,1764,3680,3183,6526,42,440,138,896,247,39501,19,0,1973,América Mineiro,america-mineiro
14,21,0,9,322,0,0,0,15,12,1,151,171,3,4,6,26,17,17,81,128,113,123,233,103,10,7,1,6,54.263157894737,8247,6937,84.115435916091,3812,3462,90.818467995803,4860,3591,73.888888888889,766,408,53.263707571802,425,116,27.294117647059,6,256,157,52,3,2,2,2,458,1,2,1890,966,51.111111111111,1288,678,52.639751552795,602,288,47.840531561462,2296,32,258,44,0,1,6.9127868852459,1335,2929,2844,5687,31,24,16,528,86,86,340,241,120,0,5,4,166,188,426,967,27,3,246,76,145,101,98,72,76,251,1962,4197,3126,6983,67,368,156,821,305,39610,19,0,6982,Volta Redonda,volta-redonda
18,21,1,12,256,1,1,0,15,15,1,136,120,3,5,8,23,18,16,78,106,72,111,218,102,6,24,4,23,42.947368421053,6089,4647,76.317950402365,2706,2379,87.915742793792,3752,2371,63.192963752665,706,321,45.467422096317,369,103,27.913279132791,5,284,118,64,3,1,2,2,639,2,0,1998,1009,50.500500500501,1277,650,50.900548159749,721,359,49.791955617198,2408,31,252,49,0,2,6.8766666666667,1597,3612,3235,6735,36,28,26,481,114,112,481,269,133,3,4,2,146,225,428,928,33,0,303,86,173,130,132,85,86,260,2304,5071,3510,8100,56,370,201,836,264,39407,19,0,1997,Paysandu SC,paysandu-sc
18,22,0,12,254,2,2,1,16,16,2,122,132,4,2,12,24,18,14,79,98,77,119,253,77,5,22,2,20,48.526315789474,7533,6141,81.521306252489,3976,3554,89.386317907445,3857,2660,68.965517241379,762,381,50.0,300,73,24.333333333333,5,299,159,62,1,9,3,3,531,0,2,1913,977,51.071615263983,1340,705,52.611940298507,573,272,47.469458987784,2320,27,224,53,4,9,6.8662251655629,1567,3335,3164,6386,42,34,24,399,139,113,466,295,156,3,6,4,162,200,508,980,45,0,269,85,160,109,100,84,85,265,2310,4750,3433,7717,47,384,179,859,293,39608,19,0,35285,Ferroviária,ferroviaria
18,25,0,9,228,2,2,0,11,15,1,124,104,4,6,6,33,22,20,66,99,63,125,245,89,2,18,2,16,47.736842105263,6673,5262,78.855087666717,2985,2660,89.112227805695,4035,2681,66.443618339529,734,318,43.324250681199,347,79,22.766570605187,4,278,150,56,4,8,4,4,579,1,3,1930,967,50.103626943005,1257,627,49.880668257757,673,340,50.520059435364,2394,28,267,51,1,4,6.8039603960396,1484,3169,2924,5995,32,19,15,489,115,98,395,240,114,1,8,12,152,200,466,1038,34,4,281,81,153,128,118,82,81,260,2158,4538,3259,7402,38,364,165,840,226,39406,19,0,336664,Amazonas FC,amazonas-fc
12,27,1,4,223,1,1,0,6,10,1,116,107,2,1,8,24,16,15,67,103,53,108,238,98,3,20,1,20,47.789473684211,7438,6007,80.760957246572,3359,3016,89.788627567728,4490,3084,68.685968819599,641,302,47.113884555382,411,93,22.627737226277,5,242,132,46,2,5,5,4,488,2,3,1863,887,47.611379495437,1173,562,47.911338448423,690,325,47.101449275362,2524,28,238,42,1,1,6.7862416107383,1518,3396,3470,6743,51,32,30,567,102,123,418,209,108,1,5,6,159,200,499,1067,23,2,266,75,159,107,118,73,75,287,2193,4777,3802,8161,43,442,167,869,218,39502,19,0,1979,Botafogo-SP,botafogo-sp
